Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
SU1276,EGABHB,SOBOLE11,54.3333,155.9167,,40,1200,,53,,1.42,,,76,1,68,
SU1277,EGABHB,KRESTOV1,51.8333,156.8,,40,3533,,42,,1.48,,,62,1,68,
SU1278,EGABHB,LEKHOVS4,43.45,159.4667,,40,115,,85,,2.15,,,184,1,68,
SU1279,,GOR.PLYA,44,145.8,,,,,,,,,,246,4,,
SU1280,FHABHC,GOR.PLYA,44,145.8167,140,100,225,7,526,7,1.5,,,790,1,69,79
SU1281,FHABHB,LAGUNNOE,44.0167,145.8,10,60,100,8,96,,0.96,,,92,1,69,79
SU1282,FGABHB,NOVOE.ZA,44.9,147.3333,950,240,280,8,86,17,1.88,,,160,1,69,79
SU1283,FGAFHB,NOVOE.VO,44.9167,147.35,1100,140,160,4,43,,1.88,,,80,1,69,79
SU1284,FGABHA,KUIBYSHE,44.95,147.6,20,180,508,36,59,57,1.35,,,79,1,69,79
SU1285,FGAGHC,SAKHALI1,50.1667,143.8,,,,,,,,,,46,1,59,73
SU1286,FGAGHC,SAKHALI2,52.4667,143.4833,,,,,,,,,,45,1,59,73
SU1287,FGAGHC,SAKHALI3,53,142.85,,,,,,,,,,45,1,59,73
